Date Time, Monitor ID, Location ID, CO2(ppm), NO2(ppm), PM10(ppm), PM2.5(ppm)
18/05/2022 16:12,1,2, , ,0,0
18/05/2022 16:13,1,1,391, , , 
18/05/2022 16:13,1,2, , ,0.001,0.001
18/05/2022 16:14,1,1,394, , , 
18/05/2022 16:14,1,2, , ,0,0
18/05/2022 16:15,1,1,394, , , 
18/05/2022 16:15,1,2, , ,0,0
18/05/2022 16:16,1,1,391, , , 
18/05/2022 16:16,1,2, , ,0.001,0
18/05/2022 16:22,1,1,444, , , 
18/05/2022 16:22,1,2, , ,0.003,0.002
18/05/2022 16:23,1,1,421, , , 
18/05/2022 16:23,1,2, , ,0,0
18/05/2022 16:24,1,1,406, , , 
18/05/2022 16:24,1,2, , ,0.001,0.001
18/05/2022 16:25,1,1,401, , , 
18/05/2022 16:25,1,2, , ,0,0
18/05/2022 16:26,1,1,396, , , 
18/05/2022 16:26,1,2, , ,0,0
18/05/2022 16:27,1,1,396, , , 
18/05/2022 16:27,1,2, , ,0,0
18/05/2022 16:28,1,1,396, , , 
18/05/2022 16:28,1,2, , ,0,0
18/05/2022 16:29,1,1,394, , , 
18/05/2022 16:29,1,2, , ,0,0
18/05/2022 16:30,1,1,394, , , 
18/05/2022 16:30,1,2, , ,0.007,0.001
18/05/2022 16:31,1,1,391, , , 
18/05/2022 16:31,1,2, , ,0.001,0
18/05/2022 16:32,1,1,391, , , 
18/05/2022 16:32,1,2, , ,0,0
18/05/2022 16:33,1,1,391, , , 
18/05/2022 16:33,1,2, , ,0,0
18/05/2022 16:34,1,1,389, , , 
18/05/2022 16:34,1,2, , ,0.001,0.001
18/05/2022 16:35,1,1,391, , , 
18/05/2022 16:35,1,2, , ,0,0
18/05/2022 16:36,1,1,391, , , 
18/05/2022 16:36,1,2, , ,0,0
18/05/2022 16:37,1,1,394, , , 
18/05/2022 16:37,1,2, , ,0,0
